Lemmatized Text,Labels
go jurong point crazy available bugis n great world la e buffet cine got amore wat,ham
ok lar joking wif oni,ham
free entry number wkly comp win fa cup final tkts numberst may number text fa number receive entry question std txt rate c apply numberovernumber,spam
dun say early hor c already say,ham
nah think go usf life around though,ham
freemsg hey darling number week word back like fun still tb ok xxx std chgs send currencynumber rcv,spam
even brother like speak treat like aid patent,ham
per request melle melle oru minnaminunginte nurungu vettam set callertune caller press number copy friend callertune,ham
winner valued network customer selected receivea currencynumber prize reward claim call number claim code klnumber valid number hour,spam
mobile number month r entitled update latest colour mobile camera free call mobile update co free number,spam
gonna home soon want talk stuff anymore tonight k cried enough today,ham
six chance win cash number number number pound txt cshnumber send number cost numberp day numberdays number tsandcs apply reply hl number info,spam
urgent number week free membership currencynumber number prize jackpot txt word claim number c www dbuk net lccltd pobox numberldnwnumberanumberrwnumber,spam
searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,ham
date sunday,ham
xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,spam
oh k watching,ham
eh remember number spell name yes v naughty make v wet,ham
fine thats way feel thats way gota b,ham
england v macedonia miss goal team news txt national team number eg england number try wale scotland numbertxt number poboxoxnumberwnumberwq number,spam
seriously spell name,ham
going try number month ha ha joking,ham
_ pay first lar da stock comin,ham
aft finish lunch go str lor ard number smth lor finish lunch already,ham
ffffffffff alright way meet sooner,ham
forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol,ham
lol always convincing,ham
catch bus frying egg make tea eating mom left dinner feel love,ham
back amp packing car let know room,ham
ahhh work vaguely remember feel like lol,ham
wait still clear sure sarcastic x want live u,ham
yeah got number v apologetic n fallen actin like spoilt child got caught till number go badly cheer,ham
k tell anything,ham
fear fainting housework quick cuppa,ham
thanks subscription ringtone uk mobile charged currencynumber month please confirm replying yes reply charged,spam
yup ok go home look timing msg _ xuhui going learn numbernd may lesson numberam,ham
oops let know roommate done,ham
see letter b car,ham
anything lor decide,ham
hello saturday go texting see decided anything tomo trying invite anything,ham
pls go ahead watt wanted sure great weekend abiola,ham
forget tell want need crave love sweet arabian steed mmmmmm yummy,ham
number rodger burn msg tried call reply sm free nokia mobile free camcorder please call number delivery tomorrow,spam
seeing,ham
great hope like man well endowed lt gt inch,ham
call message missed call,ham
get hep b immunisation nigeria,ham
fair enough anything going,ham
yeah hopefully tyler could maybe ask around bit,ham
know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker,ham
thinked first time saw class,ham
gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt,ham
k fyi x ride early tomorrow morning crashing place tonight,ham
wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,ham
sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,spam
know mallika sherawat yesterday find lt url gt,ham
congrats number year special cinema pas number call number c suprman v matrixnumber starwarsnumber etc number free bxnumber ipnumber numberwe numberpm miss,spam
sorry call later meeting,ham
tell reached,ham
yes gauti sehwag odi series,ham
gonna pick currencynumber burger way home even move pain killing,ham
ha ha ha good joke girl situation seeker,ham
part checking iq,ham
sorry roommate took forever ok come,ham
ok lar double check wif da hair dresser already said wun cut v short said cut look nice,ham
valued customer pleased advise following recent review mob awarded currencynumber bonus prize call number,spam
today song dedicated day song dedicate send valuable frnds first rply,ham
urgent awarded complimentary trip eurodisinc trav aco entrynumber currencynumber claim txt dis number number number currencynumber morefrmmob shracomorsglsuplt number lsnumber numberaj,spam
hear new divorce barbie come ken stuff,spam
plane give month end,ham
wah lucky man save money hee,ham
finished class,ham
hi babe home wanna something xx,ham
k k performed,ham
call,ham
waiting machan call free,ham
thats cool gentleman treat dignity respect,ham
like people much shy pa,ham
operate lt gt,ham
still looking job much ta earn,ham
sorry call later,ham
k call ah,ham
ok way home hi hi,ham
place man,ham
yup next stop,ham
call later network urgnt sm,ham
real getting yo need number ticket one jacket done already used multis,ham
yes started send request make pain came back back bed double coin factory gotta cash nitros,ham
really still tonight babe,ham
ela kano il download come wen free,ham
yeah stand close tho catch something,ham
sorry pain ok meet another night spent late afternoon casualty mean done stuffnumbermoro includes time sheet sorry,ham
smile pleasure smile pain smile trouble pours like rain smile sumnumber hurt smile becoz someone still love see smiling,ham
please call customer service representative number number number numberam numberpm guaranteed currencynumber cash currencynumber prize,spam
havent planning buy later check already lido got number show e afternoon finish work already,ham
free ringtone waiting collected simply text password mix number verify get usher britney fml,spam
watching telugu movie wat abt,ham
see finish load loan pay,ham
hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob ham,ham
please text anymore nothing else say,ham
okay name price long legal wen pick ave x am xx,ham
still looking car buy gone numberthe driving test yet,ham
per request melle melle oru minnaminunginte nurungu vettam set callertune caller press number copy friend callertune,ham
wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston,ham
umma life vava umma love lot dear,ham
thanks lot wish birthday thanks making birthday truly memorable,ham
aight hit get cash,ham
would ip address test considering computer minecraft server,ham
know grumpy old people mom like better lying always one play joke,ham
worry guess busy,ham
plural noun research,ham
going dinner msg,ham
ok wif co like number try new thing scared dun like mah co said loud,ham
gent trying contact last weekend draw show currencynumber prize guaranteed call number claim code knumber valid numberhrs numberppm,spam
wa openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened,ham
entered cabin pa said happy b day bos felt special askd number lunch lunch invited apartment went,ham
winner specially selected number receive currencynumber number holiday flight inc speak live operator number claim numberp min number,spam
goodo yes must speak friday egg potato ratio tortilla needed,ham
hmm uncle informed paying school directly pls buy food,ham
private number account statement number show number unredeemed bonus point claim call number identifier code number expires,spam
urgent mobile awarded currencynumber bonus caller prize number number number final try contact call landline number boxnumberwrnumberc numberppm,spam
new address apple pair malarky,ham
today voda number ending number selected receive currencynumber award match please call number quoting claim code number standard rate app,spam
going sao mu today done number,ham
predict wat time _ finish buying,ham
good stuff,ham
know yetunde sent money yet sent text bother sending involve anything imposed anything first place apologise,ham
room,ham
hey girl r hope r well del r bak long time c give call sum time lucyxx,ham
k k much cost,ham
home,ham
dear call tmorrow pls accomodate,ham
first answer question,ham
sunshine quiz wkly q win top sony dvd player know country algarve txt ansr number currencynumber sp tyrone,spam
want number get laid tonight want real dogging location sent direct number mob join uk largest dogging network bt txting gravel number nt ecnumbera numberp msg numberp,spam
email,ham
call meet,ham
check room befor activity,ham
rcv msg chat svc free hardcore service text go number get nothing must age verify yr network try,spam
got c lazy type forgot _ lect saw pouch like v nice,ham
k text way,ham
sir waiting mail,ham
swt thought nver get tired little thing number lovable person coz somtimes little thing occupy biggest part heart gud ninumber,ham
know pls open back,ham
yes see ya dot,ham
whats staff name taking class u,ham
freemsg replied text randy sexy female live local luv hear netcollex ltd numberp per msg reply stop end,spam
ummma call check life begin qatar pls pray hard,ham
k deleted contact,ham
sindu got job birla soft,ham
wine flowing nevering,ham
yup thk cine better co need number go number plaza mah,ham
ok typical reply,ham
per request melle melle oru minnaminunginte nurungu vettam set callertune caller press number copy friend callertune,ham
everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one,ham
aaooooright work,ham
leaving house,ham
hello love get interview today happy good boy think missing,ham
customer service annoncement new year delivery waiting please call number arrange delivery,spam
winner specially selected number receive currencynumber cash number holiday flight inc speak live operator number claim number,spam
keep safe need miss already envy everyone see real life,ham
new car house parent new job hand,ham
love excited day spend make happy,ham
pls stop bootydelious number f inviting friend reply yes number number see www sm ac bootydelious stop send stop frnd number,spam
bangbabes order way receive service msg number download content goto wap bangb tv mobile internet service menu,spam
place point e culture module already,ham
urgent trying contact last weekend draw show currencynumber prize guaranteed call number claim code snumber valid numberhrs,spam
hi frnd best way avoid missunderstding wit beloved one,ham
great escape fancy bridge need lager see tomo,ham
yes completely form clark also utter waste,ham
sir need axis bank account bank address,ham
hmmm thk sure got time hop ard ya go number free abt muz call discus liao,ham
time coming later,ham
bloody hell cant believe forgot surname mr ill give clue spanish begin,ham
well gonna finish bath good fine night,ham
let know got money carlos make call,ham
still going mall,ham
turn friend staying whole show back til lt gt feel free go ahead smoke currency lt gt worth,ham
text doesnt reply let know log,ham
hi spoke maneesha v like know satisfied experience reply toll free yes,ham
lifted hope offer money need especially end month approach hurt studying anyways grnumber weekend,ham
lol trust,ham
ok gentleman treat dignity respect,ham
guy close,ham
going nothing great bye,ham
hello handsome finding job lazy working towards getting back net mummy boytoy miss,ham
haha awesome minute,ham
please call customer service representative freephone number number number numberam numberpm guaranteed currencynumber cash currencynumber prize,spam
got xmas radio time get,ham
jus reached home go bathe first si using net tell finish k,ham
unique enough find numberth august www areyouunique co uk,spam
sorry joined league people keep touch mean great deal friend time even great personal cost great week,ham
hi finally completed course,ham
stop however suggest stay someone able give or every stool,ham
hope settled new school year wishin grnumber day,ham
gud mrng dear hav nice day,ham
got person story,ham
hamster dead hey tmr meet numberpm orchard mrt,ham
hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx,ham
found enc lt gt,ham
sent lt gt buck,ham
hello darlin ive finished college txt finish love kate xxx,ham
account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt,ham
goodmorning sleeping ga,ham
call alter number ok,ham
say like dat dun buy ericsson oso cannot oredi lar,ham
entered cabin pa said happy b day bos felt special askd number lunch lunch invited apartment went,ham
aight yo dat straight dogg,ham
please give u connection today lt decimal gt refund bill,ham
shoot big load get ready,ham
bruv hope great break rewarding semester,ham
home always chat,ham
k k good study well,ham
yup _ noe leh,ham
sound great home,ham
finally match heading towards draw prediction,ham
tired slept well past night,ham
easy ah sen got selected mean good,ham
take exam march number,ham
yeah think use gt atm register sure anyway help let know sure ready,ham
ok prob take time,ham
o called ubandu run without installing hard disk use o copy important file system give repair shop,ham
sorry call later,ham
say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,ham
number new mobile number must go txt nokia number collect today currencynumber www number tc biz numberoptout numbergbp mtmsgnumber,spam
would really appreciate call need someone talk,ham
meet dream partner soon career number flyng start number find free txt horo followed star sign e g horo aries,spam
hey company elama po mudyadhu,ham
life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,ham
dear good morning,ham
get gandhipuram walk cross cut road right side lt gt street road turn first right,ham
dear going rubber place,ham
sorry battery died yeah,ham
yes tv always available work place,ham
text meet someone sexy today find date even flirt join number numberp reply name age eg sam number number msg recd thirtyeight penny,spam
printed oh lt gt come upstairs,ham
ill little closer like bus stop street,ham
wil reach,ham
new theory argument win situation loses person argue friend kick amp say always correct,ham
number secret admirer looking number make contact find r reveal think special call number,spam
tomarrow final hearing laptop case cant,ham
pleassssssseeeeee tel v avent done sportsx,ham
okay shining meant signing sound better,ham
although told dat baig face watch really like e watch gave co fr thanx number everything dat done today touched,ham
remember old commercial,ham
late said website slipper,ham
asked call ok,ham
kallis wont bat numbernd inning,ham
didnt work oh ok goodnight fix ready time wake dearly missed good night sleep,ham
congratulation awarded number cd voucher numbergift guaranteed free entry number number wkly draw txt music number tncs www ldew comnumberwinnumberppmxnumberagenumber,spam
ranjith cal drpd deeraj deepak numbermin hold,ham
wen lovable bcums angry wid dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,ham
,ham
ups numberdays also shipping company take numberwks way usps take week get lag may bribe nipost get stuff,ham
back lemme know ready,ham
necessarily expect done get back though headin,ham
mmm yummy babe nice jolt suzy,ham
lover need,ham
tried contact reply offer video handset number anytime network min unlimited text camcorder reply call number,spam
parked next mini coming today think,ham
yup,ham
anyway going shopping co si done yet dun disturb liao,ham
luton number ring around h,ham
hey really horny want chat see naked text hot number text charged numberpm unsubscribe text stop number,spam
dint come u,ham
wana plan trip sometme,ham
sure yet still trying get hold,ham
ringtone service changed number free credit go clubnumbermobiles com choose content stop txt club stop number numberp wk clubnumber po boxnumber mknumber numberwt,spam
evo download flash jealous,ham
ringtone club get uk single chart mobile week choose top quality ringtone message free charge,spam
come mu sorting narcotic situation,ham
night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay,ham
hmv bonus special number pound genuine hmv voucher answer number easy question play send hmv number info www numberpercent real com,spam
usf guess might well take number car,ham
objection bf coming,ham
thanx,ham
tell rob mack gf theater,ham
awesome see bit,ham
sent type food like,ham
done handed celebration full swing yet,ham
got called tool,ham
wen miss someone,ham
ok asked money far,ham
okie,ham
yeah think usual guy still passed last night get ahold anybody let know throw,ham
k might come tonight class let early,ham
ok,ham
hi baby cruisin girl friend r number give call hour home thats alright fone fone love jenny xxx,ham
life mean lot love life love people life world call friend call world ge,ham
dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense,ham
hey told name gautham ah,ham
haf found feel stupid da v cam working,ham
oops number got bit,ham
much buzy,ham
accidentally deleted message resend please,ham
mobile customer may claim free camera phone upgrade pay go sim card loyalty call number number number offer end numberthfeb c apply,spam
unless situation go gurl would appropriate,ham
hurt tease make cry end life die plz keep one rose grave say stupid miss nice day bslvyl,ham
cant pick phone right pls send message,ham
need coffee run tomo believe time week already,ham
awesome remember last time got somebody high first time diesel v,ham
shit really shocking scary cant imagine second def night think somewhere could crash night save taxi,ham
oh way food fridge want go meal tonight,ham
womdarfull actor,ham
sm ac blind date numberu roddsnumber number aberdeen united kingdom check http img sm ac w icmbnumbercktznumberrnumber number blind date send hide,spam
yup remb think book,ham
jos ask wana meet,ham
lol yes friendship hanging thread cause buy stuff,ham
themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap number,spam
garage key bookshelf,ham
today accept day accept brother sister lover dearnumber bestnumber closnumber lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy,ham
think smart win currencynumber week weekly quiz text play number c winnersclub po box number mnumber numberuz number gbpnumber week,spam
say give call friend got money definitely buying end week,ham
hi way numberday normal way real unique hope know number rest mylife hope find wot lost,ham
made day great day,ham
k k advance happy pongal,ham
hmmm guess go number kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,ham
really dude friend afraid,ham
december mobile numbermths entitled update latest colour camera mobile free call mobile update co free number,spam
coffee cake guess,ham
merry christmas babe love ya kiss,ham
hey go watch x men lunch haha,ham
cud tell ppl gona b bit lnumber co number bus hav gon past co full still waitin number number pete x,ham
would great guild could meet bristol road somewhere get touch weekend plan take flight good week,ham
problem,ham
call message missed call,ham
hi da today class,ham
say good sign well know track record reading woman,ham
cool text parked,ham
reading text sent meant joke read light,ham
k k apo k good movie,ham
maybe could get book tomo return immediately something,ham
call germany number penny per minute call fixed line via access number number number number number prepayment direct access,spam
chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor,ham
valentine day special win currencynumber quiz take partner trip lifetime send go number numberp msg rcvd custcare number,spam
ta daaaaa home babe still,ham
cool come havent wined dined,ham
sleeping surfing,ham
sorry call later,ham
calling right call hand phone,ham
ok great thanx lot,ham
take post come must number text happy reading one wiv hello caroline end favourite bless,ham
hiding stranger,ham
interested like,ham
sister cleared two round birla soft yesterday,ham
gudnite tc practice going,ham
dis yijue jus saw mail case huiming havent sent num dis num,ham
one small prestige problem,ham
fancy shag interested sextextuk com txt xxuk suzy number txts cost number per msg tncs website x,spam
checking really miss seeing jeremiah great month,ham
nah help never iphone,ham
car hour half going apeshit,ham
today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz fault basically good,ham
yo guy ever figure much need alcohol jay trying figure much safely spend weed,ham
lt gt ish minute number minute ago wtf,ham
thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer,ham
congratulation awarded number cd voucher numbergift guaranteed free entry number number wkly draw txt music number tncs www ldew comnumberwinnumberppmxnumberagenumber,spam
cash balance currently number pound maximize cash send cash number numberp msg cc number hg suitenumber numberlands row wnumberjnumberhl,spam
actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday,ham
hello got st andrew boy long way cold keep posted,ham
ha ha cool cool chikku chikku db,ham
oh ok prob,ham
check audrey status right,ham
busy trying finish new year looking forward finally meeting,ham
good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always,ham
well know z take care worry,ham
update_now xmas offer latest motorola sonyericsson nokia free bluetooth double min number txt orange call mobileupdnumber number callnumberoptout fnumberq,spam
discount code rpnumber stop message reply stop www regalportfolio co uk customer service number,spam
wat uniform get,ham
cool text ready,ham
hello boytoy geeee miss already woke wish bed cuddling love,ham
spoil bed well,ham
going bath msg next lt gt min,ham
cant keep talking people sure pay agree price pls tell want really buy much willing pay,ham
thanks ringtone order reference tnumber charged gbp number per week unsubscribe anytime calling customer service number,spam
say happen,ham
could seen recognise face,ham
well lot thing happening lindsay new year sigh bar ptbo blue heron something going,ham
keep payasam rinu brings,ham
taught ranjith sir called sm like becaus he verifying project prabu told today pa mistake,ham
guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin,ham
yeah sure give couple minute track wallet,ham
hey leave big deal take care,ham
hey late ah meet number,ham
double min txts number numbermonths free bluetooth orange available sony nokia motorola phone call mobileupdnumber number callnumberoptout nnumberdx,spam
took mr owl number lick,ham
customer place call,ham
mm time like fun,ham
numbermths half price orange line rental latest camera phone number free phone numbermths call mobilesdirect free number update ornumberstoptxt,spam
yup lunch buffet eat already,ham
huh late fr dinner,ham
hey sat going intro pilate kickboxing,ham
morning ok,ham
yes think office lap room think thats last day didnt shut,ham
pick bout numberish time going,ham
performance award calculated every two month current one month period,ham
actually sleeping still might call back text grnumber rock si send text wen wake,ham
always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated,ham
good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india,ham
hmmm k want change field quickly da wanna get system administrator network administrator,ham
free ringtone text first number poly text get number true tone help number number number numberst free tone numberxcurrencynumberpw ecurrencynd txt stop,spam
dear chechi talk,ham
hair cream shipped,ham
none happening til get though,ham
yep great loxahatchee xmas tree burning lt gt start hour,ham
haha get used driving usf man know lot stoner,ham
well slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time place always,ham
hello good week fancy drink something later,ham
headin towards busetop,ham
message text missing sender name missing number missing sent date missing missing lot thats everything missing sent via fullonsms com,ham
come room point iron plan weekend,ham
co want thing,ham
okies go yan jiu skip ard oso go cine den go mrt one blah blah blah,ham
bring home wendy,ham
number dating service cal l number boxnumbersknumberch,spam
whatsup want sleep,ham
alright new goal,ham
free entry currencynumber weekly competition text word win number number c www txttowin co uk,spam
alright head minute text meet,ham
send logo number lover number name joined heart txt love namenumber namenumber mobno eg love adam eve number number yahoo poboxnumberwnumberwq txtno number ad numberp,spam
yes last week taking live call,ham
someone contacted dating service entered phone fancy find call landline number poboxnumbernnumbertfnumberp,spam
siva hostel aha,ham
urgent mobile number awarded currencynumber prize guaranteed call number land line claim number valid numberhrs,spam
send friend receive something voice speaking expression number childish number naughty number sentiment number rowdy number ful attitude number romantic number shy number attractive number funny lt gt irritating lt gt lovable reply,ham
ok ok guess,ham
aathi dear,ham
pain urination thing else,ham
number esplanade _ mind giving lift co got car today,ham
wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob,ham
home watching tv lor,ham
usually take fifteen fucking minute respond yes question,ham
