,Lemmatized Text,Labels
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,ham
1,ok lar joking wif oni,ham
2,free entry number wkly comp win fa cup final tkts numberst may number text fa number receive entry question std txt rate c apply numberovernumber,spam
3,dun say early hor c already say,ham
4,nah think go usf life around though,ham
5,freemsg hey darling number week word back like fun still tb ok xxx std chgs send currencynumber rcv,spam
6,even brother like speak treat like aid patent,ham
7,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press number copy friend callertune,ham
8,winner valued network customer selected receivea currencynumber prize reward claim call number claim code klnumber valid number hour,spam
9,mobile number month r entitled update latest colour mobile camera free call mobile update co free number,spam
10,gonna home soon want talk stuff anymore tonight k cried enough today,ham
11,six chance win cash number number number pound txt cshnumber send number cost numberp day numberdays number tsandcs apply reply hl number info,spam
12,urgent number week free membership currencynumber number prize jackpot txt word claim number c www dbuk net lccltd pobox numberldnwnumberanumberrwnumber,spam
13,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,ham
14,date sunday,ham
15,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,spam
16,oh k watching,ham
17,eh remember number spell name yes v naughty make v wet,ham
18,fine thats way feel thats way gota b,ham
19,england v macedonia miss goal team news txt national team number eg england number try wale scotland numbertxt number poboxoxnumberwnumberwq number,spam
20,seriously spell name,ham
21,going try number month ha ha joking,ham
22,_ pay first lar da stock comin,ham
23,aft finish lunch go str lor ard number smth lor finish lunch already,ham
24,ffffffffff alright way meet sooner,ham
25,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol,ham
26,lol always convincing,ham
27,catch bus frying egg make tea eating mom left dinner feel love,ham
28,back amp packing car let know room,ham
29,ahhh work vaguely remember feel like lol,ham
30,wait still clear sure sarcastic x want live u,ham
31,yeah got number v apologetic n fallen actin like spoilt child got caught till number go badly cheer,ham
32,k tell anything,ham
33,fear fainting housework quick cuppa,ham
34,thanks subscription ringtone uk mobile charged currencynumber month please confirm replying yes reply charged,spam
35,yup ok go home look timing msg _ xuhui going learn numbernd may lesson numberam,ham
36,oops let know roommate done,ham
37,see letter b car,ham
38,anything lor decide,ham
39,hello saturday go texting see decided anything tomo trying invite anything,ham
40,pls go ahead watt wanted sure great weekend abiola,ham
41,forget tell want need crave love sweet arabian steed mmmmmm yummy,ham
42,number rodger burn msg tried call reply sm free nokia mobile free camcorder please call number delivery tomorrow,spam
43,seeing,ham
44,great hope like man well endowed lt gt inch,ham
45,call message missed call,ham
46,get hep b immunisation nigeria,ham
47,fair enough anything going,ham
48,yeah hopefully tyler could maybe ask around bit,ham
49,know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker,ham
50,thinked first time saw class,ham
51,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt,ham
52,k fyi x ride early tomorrow morning crashing place tonight,ham
53,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,ham
54,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,spam
55,know mallika sherawat yesterday find lt url gt,ham
56,congrats number year special cinema pas number call number c suprman v matrixnumber starwarsnumber etc number free bxnumber ipnumber numberwe numberpm miss,spam
57,sorry call later meeting,ham
58,tell reached,ham
59,yes gauti sehwag odi series,ham
60,gonna pick currencynumber burger way home even move pain killing,ham
61,ha ha ha good joke girl situation seeker,ham
62,part checking iq,ham
63,sorry roommate took forever ok come,ham
64,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,ham
65,valued customer pleased advise following recent review mob awarded currencynumber bonus prize call number,spam
66,today song dedicated day song dedicate send valuable frnds first rply,ham
67,urgent awarded complimentary trip eurodisinc trav aco entrynumber currencynumber claim txt dis number number number currencynumber morefrmmob shracomorsglsuplt number lsnumber numberaj,spam
68,hear new divorce barbie come ken stuff,spam
69,plane give month end,ham
70,wah lucky man save money hee,ham
71,finished class,ham
72,hi babe home wanna something xx,ham
73,k k performed,ham
74,call,ham
75,waiting machan call free,ham
76,thats cool gentleman treat dignity respect,ham
77,like people much shy pa,ham
78,operate lt gt,ham
79,still looking job much ta earn,ham
80,sorry call later,ham
81,k call ah,ham
82,ok way home hi hi,ham
83,place man,ham
84,yup next stop,ham
85,call later network urgnt sm,ham
86,real getting yo need number ticket one jacket done already used multis,ham
87,yes started send request make pain came back back bed double coin factory gotta cash nitros,ham
88,really still tonight babe,ham
89,ela kano il download come wen free,ham
90,yeah stand close tho catch something,ham
91,sorry pain ok meet another night spent late afternoon casualty mean done stuffnumbermoro includes time sheet sorry,ham
92,smile pleasure smile pain smile trouble pours like rain smile sumnumber hurt smile becoz someone still love see smiling,ham
93,please call customer service representative number number number numberam numberpm guaranteed currencynumber cash currencynumber prize,spam
94,havent planning buy later check already lido got number show e afternoon finish work already,ham
95,free ringtone waiting collected simply text password mix number verify get usher britney fml,spam
96,watching telugu movie wat abt,ham
97,see finish load loan pay,ham
98,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob ham,ham
99,please text anymore nothing else say,ham
